Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
MIL,Thanasis Antetokounmpo,155,0.9,0.5,0.18,0.21,0.21,0.12,0.94,0.03,0,1.21,F
MIL,Bobby Portis,2008,13.8,1.3,5.67,1.73,0.83,0.41,6.34,3,1.22,1.14,F
MIL,Giannis Antetokounmpo,2567,30.4,6.5,8.84,2.68,1.19,1.08,20.33,1.7,0.47,1.9,F
MIL,Andre Jackson Jr.,572,2.2,0.9,1.23,0.75,0.28,0.11,1.02,0.81,0.3,1.79,G
MIL,Patrick Beverley,543,6,2.6,2.88,0.73,0.73,0.5,2.15,2.77,1,4.25,G
MIL,Brook Lopez,2411,12.5,1.6,3.7,1.48,0.54,2.39,5.22,5.11,1.87,1.61,C
MIL,Chris Livingston,90,1.2,0.2,0.86,0.14,0.1,0,0.95,0.24,0.05,1,F
MIL,Malik Beasley,2337,11.3,1.4,3.15,0.52,0.75,0.11,1.9,6.86,2.84,2,G
MIL,Jae Crowder,1156,6.2,1.3,2.6,0.62,0.76,0.18,1.64,3.32,1.16,2.87,F
MIL,Robin Lopez,65,1.1,0.3,0.13,0.19,0.06,0.19,0.63,0.5,0.13,2,C
MIL,Ryan Rollins,12,1,1,0.67,0,0.67,0,0,0.33,0.33,3,G
MIL,MarJon Beauchamp,608,4.4,0.6,1.6,0.46,0.27,0.15,1.71,1.56,0.63,1.15,F
MIL,Cameron Payne,702,6.2,2.3,1.21,0.11,0.47,0.06,1.53,2.79,1.11,3.52,G
CHI,Lonzo Ball,0,0,0,0,0,0,0,0,0,0,0,G
CHI,Henri Drell,30,2.8,1,0.75,0.25,0.5,0.25,1,1.5,0.5,2,F
CHI,Andrew Funk,13,0,0,0,0,0.2,0.2,0,0.6,0,0,G
CHI,Javonte Green,230,12.2,0.6,5.22,2.22,1.11,0.89,7.78,3,1.11,0.71,G-F
CHI,Dalen Terry,681,3.1,1.4,1.42,0.49,0.46,0.31,1.73,1.25,0.29,2.53,F
CHI,Andre Drummond,1351,8.4,0.5,5.61,3.35,0.92,0.61,6.71,0.04,0,0.46,C
CHI,DeMar DeRozan,2989,24,5.3,3.76,0.54,1.14,0.57,8.58,2.85,0.95,3.12,G-F
CHI,Patrick Williams,1174,10,1.5,2.79,1.07,0.93,0.77,3.49,3.44,1.37,1.16,F
CHI,Nikola Vucevic,2610,18,3.3,7.78,2.76,0.66,0.79,10.32,4.12,1.21,2.12,C
CHI,Adama Sanogo,66,4,0,1.89,2.11,0.11,0,3.11,0,0,0,C
CHI,Jevon Carter,1004,5,1.3,0.68,0.15,0.51,0.22,0.75,3.25,1.07,2.61,G
CHI,Terry Taylor,188,1.5,0.3,0.65,0.55,0.16,0.06,1.16,0.29,0.06,1.43,F
CHI,Alex Caruso,2040,10.1,3.5,2.97,0.87,1.69,0.99,3.04,4.69,1.92,2.42,G
CHI,Julian Phillips,323,2.2,0.3,0.6,0.3,0.18,0.18,0.9,0.95,0.3,1.3,F
CHI,Coby White,2881,19.1,5.1,3.97,0.56,0.67,0.23,7.14,7.04,2.65,2.44,G
CHI,Justin Lewis,0,0,0,0,0,0,0,0,0,0,0,F
CHI,Onuralp Bitim,268,3.5,0.6,1.13,0.26,0.13,0.09,1.39,1.91,0.52,1.3,G-F
CHI,Torrey Craig,1049,5.7,1.1,2.79,1.3,0.57,0.4,1.7,2.89,1.13,1.81,F
CHI,Zach LaVine,872,19.5,3.9,4.84,0.32,0.84,0.32,6.48,6.76,2.36,1.88,G
CHI,Ayo Dosunmu,2212,12.2,3.2,2.13,0.71,0.89,0.47,5.66,3.88,1.57,2.35,G
MEM,Lamar Stevens,437,11.5,1.1,3.79,1.26,0.89,0.89,7.05,2,0.58,1.33,F
MEM,Jordan Goodwin,497,10,4.5,5.18,2.82,1.47,0.53,4.35,3.59,1.12,2.85,G
MEM,Vince Williams Jr.,1436,10,3.4,4.44,1.13,0.9,0.65,3.35,4.02,1.52,1.9,G-F
MEM,Timmy Allen,125,2.6,1,2.6,0.8,0.8,0,1.6,1.4,0,2.5,F
MEM,Ziaire Williams,1038,8.2,1.5,2.84,0.69,0.71,0.18,3.02,3.71,1.14,1.14,G-F
MEM,Matt Hurt,113,4,0.5,0.88,1.13,0.38,0.38,1,2.5,0.63,2,F
MEM,Santi Aldama,1618,10.7,2.3,4.59,1.18,0.7,0.89,4.33,4.98,1.74,2,F
MEM,GG Jackson II,1233,14.6,1.2,2.98,1.1,0.58,0.5,5.42,5.96,2.13,0.91,F
MEM,Wenyen Gabriel,81,3.4,0.6,3.6,1.4,0.4,0.4,2.8,1.2,0.2,0.38,F
MEM,DeJon Jarreau,150,4.8,2.9,4,0.89,0.67,0.22,2.89,1.44,0.44,2.89,G
MEM,David Roddy,1114,8.4,1.6,3.1,1.06,0.52,0.23,4.38,3.25,0.98,1.41,F
MEM,Jaren Jackson Jr.,2124,22.5,2.3,4.24,1.29,1.21,1.61,11.76,5.55,1.77,0.96,F-C
MEM,Derrick Rose,399,8,3.3,1.58,0.29,0.33,0.08,4,1.71,0.63,2.52,G
MEM,Desmond Bane,1443,23.7,5.5,3.55,0.86,1.02,0.52,8.62,8.57,3.26,2.05,G
MEM,Jacob Gilyard,654,4.7,3.5,0.95,0.22,0.73,0.14,0.22,3.24,1.38,4.52,G
MEM,Jack White,64,1.5,0.3,2,1,1,0.25,0,2.5,0.5,0.5,F
MEM,Tosan Evbuomwan,74,2.5,1.5,1.5,2,0,0.25,1,2,0.5,6,F
MEM,Jaylen Nowell,156,5.7,1.8,1.22,0.33,0.33,0,2,2.56,0.44,3.2,G
MEM,Shaquille Harrison,6,0.7,0,0.67,0,0,0.33,0.67,0,0,0,G
