"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"DEN","Justin Holiday",862,4,1.2,1.07,0.16,0.62,0.16,0.72,2.34,0.95,4.79,"F-G",2,18,82,23,2
"DEN","Aaron Gordon",2297,13.9,3.5,4.07,2.38,0.77,0.62,9.51,1.89,0.55,2.47,"F",78,46,70,57,88
"DEN","Julian Strawther",545,4.5,0.9,1.12,0.1,0.34,0.14,1.48,2.76,0.82,2.04,"G",8,17,29,5,1
"DEN","Michael Porter Jr.",2565,16.7,1.5,5.67,1.31,0.52,0.65,4.77,6.84,2.72,1.33,"F",71,88,20,37,85
"DEN","Zeke Nnaji",576,3.2,0.6,1.12,1.05,0.26,0.66,2.17,0.4,0.1,1.19,"F-C",7,1,4,16,25
"DEN","Jamal Murray",1861,21.2,6.5,3.39,0.71,0.97,0.66,7.08,5.78,2.46,3.07,"G",84,92,95,78,49
"DEN","Reggie Jackson",1817,10.2,3.8,1.49,0.4,0.54,0.16,4.34,3.46,1.24,2.91,"G",48,49,79,17,9
"DEN","Peyton Watson",1488,6.7,1.1,2.53,0.7,0.53,1.1,3.73,1.9,0.56,1.48,"G",32,19,17,59,32
"DEN","Christian Braun",1655,7.3,1.6,2.77,0.96,0.51,0.43,3.68,2,0.77,2.4,"G",35,25,46,25,47
"DEN","Kentavious Caldwell-Pope",2402,10.1,2.4,2,0.41,1.29,0.55,2.47,4.05,1.64,2.44,"G",39,58,59,88,17
"DEN","Nikola Jokić",2737,26.4,9,9.53,2.82,1.37,0.86,16.81,2.92,1.05,2.99,"C",100,86,99,95,99
"ATL","Bruno Fernando",682,6.3,1,2.98,1.31,0.56,0.62,4.84,0.09,0,1.05,"F-C",39,7,5,39,63
"ATL","Onyeka Okongwu",1405,10.2,1.3,4.2,2.64,0.47,1.09,7.2,1.25,0.42,1.64,"F-C",61,28,26,52,91
"ATL","Dejounte Murray",2783,22.5,6.4,4.54,0.79,1.42,0.31,8.79,7.1,2.58,2.5,"G",89,93,91,88,70
"ATL","Vit Krejci",541,6.1,2.3,1.86,0.5,0.59,0.27,1.91,3.09,1.27,2.5,"G",16,34,58,24,18
"ATL","Garrison Mathews",992,4.9,0.6,1.14,0.26,0.3,0.12,0.36,2.92,1.29,1.95,"G",2,29,20,4,4
"ATL","De'Andre Hunter",1681,15.6,1.5,3.35,0.54,0.7,0.28,4.63,5.33,2.05,1.05,"F-G",66,77,12,36,41
"ATL","Bogdan Bogdanovic",2401,16.9,3.1,2.77,0.67,1.22,0.33,4.58,8.11,3.04,2.21,"G",70,91,61,81,37
"ATL","Clint Capela",1883,11.5,1.2,6.04,4.59,0.59,1.45,9.64,0.01,0,1.23,"C",75,22,12,79,99
"ATL","Trae Young",1942,25.7,10.8,2.33,0.43,1.33,0.2,7.52,8.69,3.24,2.48,"G",91,99,99,82,22
"ATL","Jalen Johnson",1889,16,3.6,7.39,1.32,1.2,0.84,9.68,3.57,1.27,2.01,"F",82,66,65,90,92
"ATL","Saddiq Bey",2062,13.7,1.5,3.87,2.65,0.81,0.17,5.33,5.68,1.79,1.7,"G-F",63,68,32,40,90
"MIL","Pat Connaughton",1676,5.6,2.1,2.47,0.67,0.53,0.25,1.79,3.13,1.08,3.29,"G",13,26,68,19,30
"MIL","Khris Middleton",1487,15.1,5.3,3.95,0.73,0.93,0.27,3.96,4.49,1.71,2.3,"F",61,70,84,55,59
"MIL","Damian Lillard",2579,24.3,7,3.89,0.49,0.99,0.25,6.77,8.52,3.01,2.63,"G",87,96,95,59,50
"MIL","AJ Green",614,4.5,0.5,0.98,0.16,0.16,0.07,0.21,3.02,1.23,2.5,"G",1,26,34,0,1
"MIL","Bobby Portis",2008,13.8,1.3,5.67,1.73,0.83,0.41,6.34,3,1.22,1.14,"F",69,60,11,52,89
"MIL","Giannis Antetokounmpo",2567,30.4,6.5,8.84,2.68,1.19,1.08,20.33,1.7,0.47,1.9,"F",100,86,87,93,98
"MIL","Andre Jackson Jr.",572,2.2,0.9,1.23,0.75,0.28,0.11,1.02,0.81,0.3,1.79,"G",0,2,21,3,16
"MIL","Patrick Beverley",543,6,2.6,2.88,0.73,0.73,0.5,2.15,2.77,1,4.25,"G",17,25,86,48,40
"MIL","Brook Lopez",2411,12.5,1.6,3.7,1.48,0.54,2.39,5.22,5.11,1.87,1.61,"C",58,67,30,94,76
"MIL","Malik Beasley",2337,11.3,1.4,3.15,0.52,0.75,0.11,1.9,6.86,2.84,2,"G",40,80,36,32,38
"MIL","Jae Crowder",1156,6.2,1.3,2.6,0.62,0.76,0.18,1.64,3.32,1.16,2.87,"F",15,32,51,36,30
"MIL","MarJon Beauchamp",608,4.4,0.6,1.6,0.46,0.27,0.15,1.71,1.56,0.63,1.15,"F",9,12,3,3,12
"MIL","Cameron Payne",702,6.2,2.3,1.21,0.11,0.47,0.06,1.53,2.79,1.11,3.52,"G",14,30,73,10,2
"CHI","Dalen Terry",681,3.1,1.4,1.42,0.49,0.46,0.31,1.73,1.25,0.29,2.53,"F",4,3,45,17,11
"CHI","Andre Drummond",1351,8.4,0.5,5.61,3.35,0.92,0.61,6.71,0.04,0,0.46,"C",54,11,0,71,96
"CHI","DeMar DeRozan",2989,24,5.3,3.76,0.54,1.14,0.57,8.58,2.85,0.95,3.12,"G-F",91,81,90,83,49
"CHI","Patrick Williams",1174,10,1.5,2.79,1.07,0.93,0.77,3.49,3.44,1.37,1.16,"F",43,52,16,79,52
"CHI","Nikola Vucevic",2610,18,3.3,7.78,2.76,0.66,0.79,10.32,4.12,1.21,2.12,"C",86,70,62,56,97
"CHI","Jevon Carter",1004,5,1.3,0.68,0.15,0.51,0.22,0.75,3.25,1.07,2.61,"G",5,24,46,18,0
"CHI","Alex Caruso",2040,10.1,3.5,2.97,0.87,1.69,0.99,3.04,4.69,1.92,2.42,"G",41,62,69,99,48
"CHI","Coby White",2881,19.1,5.1,3.97,0.56,0.67,0.23,7.14,7.04,2.65,2.44,"G",81,90,84,29,55
"CHI","Torrey Craig",1049,5.7,1.1,2.79,1.3,0.57,0.4,1.7,2.89,1.13,1.81,"F",13,28,27,28,60
"CHI","Zach LaVine",872,19.5,3.9,4.84,0.32,0.84,0.32,6.48,6.76,2.36,1.88,"G",80,88,67,49,60
"CHI","Ayo Dosunmu",2212,12.2,3.2,2.13,0.71,0.89,0.47,5.66,3.88,1.57,2.35,"G",59,61,67,61,27
"MEM","Jordan Goodwin",497,10,4.5,5.18,2.82,1.47,0.53,4.35,3.59,1.12,2.85,"G",14,14,58,22,33
"MEM","Vince Williams Jr.",1436,10,3.4,4.44,1.13,0.9,0.65,3.35,4.02,1.52,1.9,"G-F",42,55,60,71,76
"MEM","Ziaire Williams",1038,8.2,1.5,2.84,0.69,0.71,0.18,3.02,3.71,1.14,1.14,"G-F",34,40,15,31,39
"MEM","Santi Aldama",1618,10.7,2.3,4.59,1.18,0.7,0.89,4.33,4.98,1.74,2,"F",49,60,48,66,78
"MEM","GG Jackson II",1233,14.6,1.2,2.98,1.1,0.58,0.5,5.42,5.96,2.13,0.91,"F",67,76,5,35,57
"MEM","David Roddy",1114,8.4,1.6,3.1,1.06,0.52,0.23,4.38,3.25,0.98,1.41,"F",42,36,24,18,58
"MEM","Jaren Jackson Jr.",2124,22.5,2.3,4.24,1.29,1.21,1.61,11.76,5.55,1.77,0.96,"F-C",94,87,24,97,77
"MEM","Desmond Bane",1443,23.7,5.5,3.55,0.86,1.02,0.52,8.62,8.57,3.26,2.05,"G",90,98,83,77,58
"MEM","Jacob Gilyard",654,4.7,3.5,0.95,0.22,0.73,0.14,0.22,3.24,1.38,4.52,"G",2,31,92,30,2
"MEM","Bismack Biyombo",718,5.2,1.7,4.47,1.9,0.33,1.13,4.47,0,0,1.34,"C",30,4,24,43,85
"MEM","John Konchar",1173,4.3,2,3.36,1.31,0.93,0.93,1.82,2.18,0.69,2.39,"G-F",10,14,51,82,69
"MEM","Luke Kennard",999,11,3.5,2.62,0.28,0.51,0.05,1.13,6.1,2.74,2.52,"G-F",33,77,71,11,21
"MEM","Marcus Smart",605,14.5,4.3,2.35,0.3,2.05,0.25,5.1,6.7,2.1,1.39,"G",64,75,61,98,19
"MEM","Jake LaRavia",806,10.8,1.7,2.2,1.46,0.83,0.34,3.49,4.46,1.51,1.29,"F",46,56,22,49,57
"MEM","Trey Jemison",572,7.4,1.2,3,2.78,0.52,1.22,6.35,0,0,0.82,"C",49,8,4,65,87
"MEM","Xavier Tillman Sr.",700,6,1.7,2.97,1.65,1.24,1.03,4.35,1.56,0.35,1.97,"F-C",34,10,39,94,72
"MIA","Jimmy Butler",2042,20.8,5,3.55,1.75,1.32,0.28,9.53,2.42,1,2.92,"F",88,72,87,84,79
"MIA","Bam Adebayo",2416,19.3,3.9,8.14,2.24,1.14,0.93,12.68,0.59,0.21,1.72,"C-F",92,56,62,89,96
"MIA","Duncan Robinson",1905,12.9,2.8,2.32,0.22,0.68,0.24,3.26,6.96,2.75,2.02,"F",50,82,55,31,15
"MIA","Jaime Jaquez Jr.",2113,11.9,2.6,2.71,1.09,1.03,0.27,6.85,2.69,0.87,1.77,"F-G",65,47,47,66,51
"MIA","Caleb Martin",1756,10,2.2,3.23,1.16,0.73,0.45,4.22,3.63,1.27,1.86,"F",47,49,44,45,62
"MIA","Kevin Love",924,8.8,2.1,5.07,1.07,0.33,0.18,2.44,4.44,1.53,2.4,"F-C",32,52,53,6,80
"MIA","Tyler Herro",1407,20.8,4.5,4.83,0.45,0.71,0.07,6.71,7.93,3.14,2.02,"G",83,94,72,26,64
"MIA","Kyle Lowry",1037,8.2,4,2.81,0.68,1.05,0.41,1.84,4.35,1.68,2.77,"G",25,54,79,75,38
"MIA","Haywood Highsmith",1366,6.1,1.1,2.2,0.98,0.8,0.45,2.18,2.91,1.15,2.06,"F",17,31,34,51,38
"MIA","Terry Rozier",975,16.4,4.6,3.61,0.58,1,0.29,5.68,5.74,2.13,3.51,"G",90,94,96,76,42
"MIA","Terry Rozier",975,16.4,4.6,3.61,0.58,1,0.29,5.68,5.74,2.13,3.51,"G",73,81,90,62,49
"MIA","Nikola Jović",896,7.7,2,3.63,0.54,0.54,0.3,2.57,3.54,1.41,2.14,"F",29,45,46,22,47
"MIA","Josh Richardson",1103,9.9,2.4,2.4,0.42,0.56,0.33,3.3,4.42,1.53,2.92,"G",42,54,67,25,24
"NOP","Jordan Hawkins",1160,7.8,1,1.78,0.43,0.28,0.1,1.16,4.45,1.63,1.75,"G",18,50,21,2,14
"NOP","Dyson Daniels",1358,5.8,2.7,2.85,1.02,1.39,0.41,3.05,2.21,0.69,2.78,"G",22,18,68,89,51
